reference_date,location,horizon,model,target_end_date,truth,point,wis,mae,persistence_mae
2024-11-23,48,3,baseline,2024-12-14,701.0,213.0,285.01347826086953,488.0,478.0
2024-11-23,49,1,ensemble,2024-11-30,20.0,13.0,3.709565217391304,7.0,10.0
2024-11-23,49,1,baseline,2024-11-30,20.0,10.0,5.567826086956522,10.0,10.0
2024-11-23,49,2,ensemble,2024-12-07,64.0,16.0,39.063043478260866,48.0,54.0
2024-11-23,49,2,baseline,2024-12-07,64.0,10.0,41.30478260869564,54.0,54.0
2024-11-23,49,3,ensemble,2024-12-14,87.0,18.0,56.99565217391305,69.0,77.0
2024-11-23,49,3,baseline,2024-12-14,87.0,10.0,62.291739130434784,77.0,77.0
2024-11-23,50,1,ensemble,2024-11-30,3.0,5.0,1.1686956521739134,2.0,0.0
2024-11-23,50,1,baseline,2024-11-30,3.0,3.0,0.8556521739130436,0.0,0.0
2024-11-23,50,2,ensemble,2024-12-07,0.0,5.0,2.8147826086956527,5.0,3.0
2024-11-23,50,2,baseline,2024-12-07,0.0,3.0,1.8286956521739126,3.0,3.0
2024-11-23,50,3,ensemble,2024-12-14,8.0,7.0,1.5552173913043479,1.0,5.0
2024-11-23,50,3,baseline,2024-12-14,8.0,3.0,2.5,5.0,5.0
2024-11-23,51,1,ensemble,2024-11-30,46.0,47.0,6.116956521739132,1.0,20.0
2024-11-23,51,1,baseline,2024-11-30,46.0,25.0,12.388260869565217,21.0,20.0
2024-11-23,51,2,ensemble,2024-12-07,68.0,47.0,11.229565217391302,21.0,42.0
2024-11-23,51,2,baseline,2024-12-07,68.0,25.0,21.972608695652173,43.0,42.0
2024-11-23,51,3,ensemble,2024-12-14,140.0,71.0,35.00086956521739,69.0,114.0
2024-11-23,51,3,baseline,2024-12-14,140.0,25.0,59.47000000000003,115.0,114.0
2024-11-23,53,1,ensemble,2024-11-30,46.0,40.0,5.768260869565218,6.0,24.0
2024-11-23,53,1,baseline,2024-11-30,46.0,22.0,13.124782608695652,24.0,24.0
2024-11-23,53,2,ensemble,2024-12-07,78.0,49.0,14.296086956521739,29.0,56.0
2024-11-23,53,2,baseline,2024-12-07,78.0,22.0,31.26695652173913,56.0,56.0
2024-11-23,53,3,ensemble,2024-12-14,188.0,58.0,76.18391304347826,130.0,166.0
2024-11-23,53,3,baseline,2024-12-14,188.0,22.0,106.61695652173917,166.0,166.0
2024-11-23,54,1,ensemble,2024-11-30,3.0,9.0,3.469130434782609,6.0,1.0
2024-11-23,54,1,baseline,2024-11-30,3.0,3.0,2.854347826086957,0.0,1.0
2024-11-23,54,2,ensemble,2024-12-07,13.0,12.0,2.46,1.0,9.0
2024-11-23,54,2,baseline,2024-12-07,13.0,3.0,5.6613043478260865,10.0,9.0
2024-11-23,54,3,ensemble,2024-12-14,21.0,15.0,3.986521739130435,6.0,17.0
2024-11-23,54,3,baseline,2024-12-14,21.0,3.0,8.415217391304349,18.0,17.0
2024-11-23,55,1,ensemble,2024-11-30,12.0,16.0,4.68304347826087,4.0,6.0
2024-11-23,55,1,baseline,2024-11-30,12.0,5.0,5.1400000000000015,7.0,6.0
